names,dates,ratings,site
Argentum Tuum Hortum,2013-12-27,T,ffnet
The Auspice,2013-12-27,T,ffnet
All for the want of a Madoka,2013-12-25,K+,ffnet
The Apocrypha of Fiona Graham (A Rebellion-based Story),2013-12-24,K+,ffnet
Kyubey's Obsession,2013-12-24,K+,ffnet
Food fight,2013-12-24,T,ffnet
Thoughts at an End,2013-12-24,T,ffnet
Death Attributed to Stationary Motor Vehicle,2013-12-23,T,ffnet
Kyu Kyu Song,2013-12-23,K+,ffnet
Disintegrating Hearts,2013-12-23,K+,ffnet
Hello My Baby! Hello My Honey!,2013-12-23,K+,ffnet
Normal day,2013-12-22,K+,ffnet
Unius Snowflake,2013-12-20,K+,ffnet
Love Colored Canvas,2013-11-23,K+,ffnet
Witches,2013-12-20,K+,ffnet
X-Date,2013-12-19,M,ffnet
Sins and Virtue of Sacrifices,2013-11-01,T,ffnet
The Nightmare Ends,2013-12-18,K+,ffnet
Midterms,2013-12-18,K+,ffnet
La magia y los milagros existen,2013-12-16,K+,ffnet
Universal,2012-08-23,T,ffnet
psychosaga: Behind Closed Doors,2013-08-09,M,ffnet
Who Says Black and Blue Can't Heal the World?,2013-12-12,T,ffnet
"through laughter and tears, lets stick together",2013-12-10,T,ffnet
Time and Time Again They Burn,2013-12-09,K+,ffnet
The Sugar Thief,2013-12-07,K+,ffnet
Soul Gem Refraction: A Study,2013-12-06,K+,ffnet
In a World Devoid of Hope,2013-12-05,T,ffnet
Una Completa Idiota,2013-12-05,T,ffnet
Christmas Present,2013-12-04,K+,ffnet
Again,2013-12-04,T,ffnet
A Wish to Disappear,2013-01-07,T,ffnet
One Step Till Paradise,2013-12-02,T,ffnet
The only way,2013-12-01,T,ffnet
Sayaka and Oktavia,2013-04-28,T,ffnet
Kyoko's Confession,2013-11-30,T,ffnet
Dreaming of you REBELLION,2013-11-30,T,ffnet
Gifts of the Goddess,2013-11-30,K+,ffnet
Why Can't We Be Friends?,2013-11-28,T,ffnet
Puella Death reviews,2013-11-29,T,ffnet
MUSE OF THE FORGOTTEN,2013-11-28,K+,ffnet
Basked in Moonlight,2012-09-24,T,ffnet
Puela Magi Emiya,2013-10-06,M,ffnet
Precious Friends,2013-06-17,T,ffnet
Clutch,2013-11-20,M,ffnet
Confessions,2013-11-25,T,ffnet
Homura vs Mami,2013-11-24,T,ffnet
Your Country Needs You!,2013-11-23,M,ffnet
What is Love?,2013-11-18,M,ffnet
The Irregular Universe - remade version,2013-11-21,T,ffnet
The Irregular Universe,2012-08-23,T,ffnet
Requiem Magica,2012-08-23,T,ffnet
She wore a mask,2013-10-15,T,ffnet
Closure,2013-11-20,T,ffnet
A Night at Madoka's House,2013-11-19,T,ffnet
Yay,2013-11-18,T,ffnet
Light 'Em Up,2013-11-18,M,ffnet
Puella Magi Rima Magica,2013-11-18,T,ffnet
For Love of Angel(food),2013-11-17,T,ffnet
Puella Magi: Witch's Gathering,2013-10-02,T,ffnet
Voyeur,2013-11-13,T,ffnet
A Victory or Failure?,2013-11-12,T,ffnet
Mahou Shounen Madoka Magica,2013-11-12,M,ffnet
Timeless Love,2013-11-12,K,ffnet
Fall,2013-11-11,T,ffnet
Madoka Magica - My Feelings for you - KyoSaya One-Shot,2013-11-07,T,ffnet
Somebody to Cry Against,2013-11-07,T,ffnet
SCP-102-A - Kyubey,2013-11-05,K,ffnet
The Untold Story of Mami,2013-11-05,T,ffnet
Caution: Floor Wet,2013-11-04,T,ffnet
Homumado- Holding Hands,2013-11-02,K,ffnet
Happiness,2013-11-01,K+,ffnet
Magica Random,2012-10-24,T,ffnet
Sacrifice of a Daughter,2013-10-31,K+,ffnet
Chocolate Cake,2013-10-31,K+,ffnet
Hunted,2013-10-31,T,ffnet
Free Sky,2012-09-23,T,ffnet
Puella Magi Akira Magica,2013-10-07,K+,ffnet
First Time,2013-10-11,M,ffnet
The End of All Things,2013-10-25,K+,ffnet
Killing The White Demon,2013-10-24,T,ffnet
Faces,2013-10-24,K+,ffnet
Emotional Rollercoaster,2013-10-24,T,ffnet
The different story,2013-04-24,T,ffnet
Coping (Not Really),2013-10-22,T,ffnet
Doughnut,2013-10-22,K,ffnet
Querida Kaname-san,2013-10-21,K,ffnet
"Aussi longtemps que je t'aimerai, tu ne seras plus jamais seule",2013-10-21,K+,ffnet
ANI-Mitaki After Dark,2013-10-09,M,ffnet
Puella Magi Kaen Magica,2013-06-29,T,ffnet
Melody of a Long-Lost Hero,2013-10-14,K,ffnet
Start & End,2013-10-13,K+,ffnet
Nocte of Desperatio,2013-10-13,K+,ffnet
Sushi,2013-10-12,K+,ffnet
Angel of Darkness,2013-10-12,K+,ffnet
That's the Great Dame Madoka to You!,2013-09-23,T,ffnet
Rain,2013-10-07,T,ffnet
Tu n'es pas seule!,2013-10-06,K,ffnet
ANI-Mitakihara-CON,2013-09-14,T,ffnet
The Scarlet Hair warrior,2013-10-03,K,ffnet
Happy Birthdayyyyy,2013-10-03,T,ffnet
Together,2013-10-03,K+,ffnet
Class presentation,2013-10-02,K,ffnet
Madoka in Mexico,2013-06-16,T,ffnet
Grant a Wish,2013-10-01,K+,ffnet
Walpurgis Haifisch,2013-10-01,T,ffnet
Dear Madoka,2013-09-30,T,ffnet
I'll See You Again,2013-08-24,T,ffnet
Priorities,2013-09-23,T,ffnet
Puella Magi Americana Magica,2013-03-21,T,ffnet
Odes From Lost Ones,2013-07-08,T,ffnet
Dropplets of despair,2013-09-18,T,ffnet
Kokoro: Ryubey's Story,2013-07-30,T,ffnet
Matchmaking 2,2013-09-13,T,ffnet
Matchmaking,2013-09-13,T,ffnet
Mahou Shoujo Madoka Magica: Kyubee's Lament,2011-05-01,M,ffnet
"Thunder, Lightning",2013-09-08,K+,ffnet
The Angel of Death,2013-09-08,M,ffnet
Fools,2013-09-07,K+,ffnet
Sayakoholic's Anonymous,2013-07-29,M,ffnet
Fatuus in Armis Caerula,2013-09-06,T,ffnet
Only me,2013-09-05,T,ffnet
Fuego con azul - Agua con rojo,2013-09-05,T,ffnet
Enfant maudit,2013-09-04,T,ffnet
Louco,2013-09-03,T,ffnet
Last Seen Tethered,2013-06-21,T,ffnet
The New Fate,2013-03-04,T,ffnet
Musica Magica,2013-09-02,K,ffnet
I heard Kyousuke kicked the bucket,2013-07-13,T,ffnet
By my side,2013-08-27,T,ffnet
Puella Magi Tiffany Madoka,2013-08-27,T,ffnet
I Miss You,2013-08-25,T,ffnet
Together,2013-08-25,M,ffnet
Puella Mercenary Madoka Mayhem,2013-08-25,T,ffnet
Tagged,2013-08-22,T,ffnet
Shortcake,2013-08-22,T,ffnet
Kyouko's Shopping Day,2013-08-22,K,ffnet
Puella Magi Temashi Magica,2013-04-21,T,ffnet
Domino,2013-08-18,T,ffnet
Over the Cuckoo's Nest,2013-08-18,K+,ffnet
Anagram,2013-08-17,T,ffnet
Before Before,2013-08-17,K+,ffnet
Count Two,2013-08-15,T,ffnet
Sayaka miki's fourth wall monologue,2013-08-15,T,ffnet
Sleeping Beauty,2013-08-12,T,ffnet
Just One More Time,2013-07-03,M,ffnet
Dream of Everything - Puella Magi Madoka Magica,2013-08-09,K+,ffnet
Alternate,2013-08-07,T,ffnet
MSN,2013-08-06,T,ffnet
Of Puella and Puer,2013-08-04,T,ffnet
Once Upon The End,2013-01-16,T,ffnet
The servants of Tomoe Mansion,2012-02-12,M,ffnet
Caring too much is a no,2013-07-31,K+,ffnet
Maybe,2013-07-30,T,ffnet
Homura and Mami,2013-07-28,K,ffnet
At your service,2013-07-27,T,ffnet
Count One,2013-07-27,T,ffnet
Death Seeker,2013-07-27,T,ffnet
Watching You,2013-07-26,K,ffnet
Parallel Worlds: Salvation,2013-07-25,T,ffnet
Sakura and Madoka Magica,2013-07-25,T,ffnet
Morning,2013-07-23,M,ffnet
Una nueva oportunidad,2013-07-23,K+,ffnet
Retry,2013-07-22,K+,ffnet
Libera Me from Hell,2013-06-16,T,ffnet
Judgement,2013-05-22,T,ffnet
All I Wanted Was To Save People Like Her,2013-07-17,T,ffnet
Welcome to the Quiet Room,2013-03-28,T,ffnet
Facebook,2013-07-15,T,ffnet
Even Great Loss Brings Some Gain,2013-07-15,K+,ffnet
Forget-me-not,2013-06-24,T,ffnet
Saving Life,2013-02-08,T,ffnet
Conversion,2013-07-07,T,ffnet
30 Days of KyoSaya,2013-07-12,K+,ffnet
The greatest practical joke,2013-05-16,T,ffnet
Comencemos De Nuevo,2013-07-13,K+,ffnet
Brothers,2013-07-12,K+,ffnet
There Is No Hope,2013-07-10,T,ffnet
That happy dream,2013-07-07,T,ffnet
Skinship,2013-07-06,M,ffnet
phantom,2013-07-05,K,ffnet
Living While Dying,2013-07-03,T,ffnet
Together Again,2013-06-30,T,ffnet
to be,2013-07-01,T,ffnet
Quiero decirte una cosa,2013-07-01,K+,ffnet
In Her Head,2013-06-30,T,ffnet
Point of View,2013-06-22,K+,ffnet
Pretend,2013-06-27,T,ffnet
Dancing,2013-06-28,K,ffnet
the heaven you and i know,2013-06-27,K,ffnet
Memento quod morieris puella magicales,2013-06-26,M,ffnet
Saving Sayaka,2012-08-26,M,ffnet
Puella Poems,2013-06-25,K,ffnet
Latidos de un corazón sin sangre,2013-06-24,K,ffnet
Of Mermaids and Unicorns,2013-06-22,K+,ffnet
A Game,2013-06-14,T,ffnet
The Ruby Kingdom : The Exam!,2013-06-22,K+,ffnet
Afternoon confession,2013-05-07,T,ffnet
My Dear Friend,2013-06-21,K+,ffnet
Bear,2013-06-20,K+,ffnet
Those Who Take the Sword,2013-06-19,T,ffnet
Thank You,2013-06-18,T,ffnet
Interstice of Time,2011-09-20,T,ffnet
Can this be called a Happy Ending?,2013-06-16,K,ffnet
Everything will be fine( A puella Magi Madoka Magica Fanfiction),2013-06-14,T,ffnet
My Father-Daughter Relationship,2013-06-14,K+,ffnet
Falling into Darkness,2013-06-13,K+,ffnet
Feel Alive,2013-06-11,K,ffnet
Tea,2013-06-07,K,ffnet
When You Let Me Go,2013-06-06,K+,ffnet
Once More,2013-06-06,T,ffnet
Ways of War,2013-06-03,M,ffnet
We're The Best Friends,2013-05-29,T,ffnet
Kyoko eats EVERYTHING,2013-06-02,K+,ffnet
in another life,2013-06-01,T,ffnet
Vertical Asymptote,2013-06-01,T,ffnet
The Singing City,2013-06-01,K+,ffnet
Puella Magi Maisie Magica,2013-01-05,T,ffnet
Theme,2013-05-13,T,ffnet
Reminiscing,2013-05-29,T,ffnet
memento mori,2013-05-27,T,ffnet
something forgetful,2013-05-25,M,ffnet
Dark Magica Chapters 1 - 4,2013-05-04,T,ffnet
Scarlet,2013-05-23,K,ffnet
Paradox,2013-05-21,M,ffnet
Guardian Angel,2013-05-19,T,ffnet
Decepción y Esperanza,2013-05-18,K,ffnet
Promises,2013-05-17,T,ffnet
Witches' Birth,2013-05-12,K+,ffnet
Shattered Hope,2013-05-12,K+,ffnet
Apple Blossom,2013-05-09,T,ffnet
Protector Servorum MINI : School Play,2013-04-21,K,ffnet
Happiness,2013-05-06,K+,ffnet
A Daughter's Journey,2013-05-03,M,ffnet
And We're Home,2013-05-01,K+,ffnet
Beep Boop Homura,2013-04-30,K,ffnet
Promises & Revelations,2013-03-16,K+,ffnet
Worth Fighting For,2013-04-26,T,ffnet
Forever,2013-04-25,K+,ffnet
Protector Servorum MINI : Monster Hunter,2013-04-23,K,ffnet
Our Warship,2013-01-29,T,ffnet
The Little Princess,2013-04-21,M,ffnet
One last Message,2013-04-21,T,ffnet
Aegis,2013-04-20,T,ffnet
Protector Servorum MINI : Hideki's Unknown Despair,2013-04-19,K,ffnet
(Currently Untitled),2013-04-19,K+,ffnet
La chica de rosa,2013-04-17,T,ffnet
The Value of Miracles,2013-03-07,T,ffnet
Sayaka's Miracle,2013-04-15,K+,ffnet
"Juntas, para siempre",2013-04-11,K+,ffnet
Puella Magi: A Cyclical Magica,2011-12-29,K+,ffnet
Never Enough,2013-04-11,K,ffnet
Stuck in Reverse,2013-04-10,T,ffnet
Soothing Your Heart,2013-04-08,M,ffnet
WHAT TEH HELL,2013-04-05,T,ffnet
COMPREHEND,2013-04-05,T,ffnet
Puella Magi Emi Magica,2013-04-04,K+,ffnet
Taste the Rainbow,2013-04-03,M,ffnet
Operation DEAD,2013-04-03,T,ffnet
EXCUSE ME,2013-04-02,T,ffnet
Who,2013-04-02,T,ffnet
Puella Magi Kiseki Magica,2012-09-14,T,ffnet
Closer,2012-11-09,T,ffnet
Like a Spoiling Apple,2013-03-30,K+,ffnet
gaudium in veritate,2013-03-30,T,ffnet
Hitomi Shizuki,2013-03-30,K+,ffnet
Hallelujah,2013-03-29,T,ffnet
Growing Pains,2013-03-12,T,ffnet
Promises,2013-03-29,K,ffnet
The Road Home,2013-03-28,T,ffnet
La Chica de Cabello Zafiro,2012-12-10,T,ffnet
Witch Shipping Anthology,2013-03-04,T,ffnet
Forgive me Father for I Have Sinned,2013-03-23,T,ffnet
The world begins with you,2013-03-23,T,ffnet
Nightfall,2013-03-20,M,ffnet
At the Beach,2013-03-19,K,ffnet
A wonderful life:,2013-03-18,T,ffnet
Puella Magi Hel Magica,2013-03-17,K+,ffnet
Tell Me A Story?,2013-03-17,T,ffnet
"Good Bye, Friend",2013-03-15,T,ffnet
A Magical Girl Reunion,2012-10-10,T,ffnet
Unintelligent Design,2013-03-15,K,ffnet
Cosmic,2013-03-15,K,ffnet
Por siempre,2013-03-15,M,ffnet
Forget Me Not,2013-03-14,K,ffnet
The Veteran,2013-01-04,T,ffnet
No me Abandones,2013-03-13,K+,ffnet
The Story About Us,2013-02-17,K,ffnet
Sadness and sorrows,2013-03-11,T,ffnet
Into a Kaleidoscope,2012-02-25,T,ffnet
Querer,2013-03-11,K+,ffnet
Distress and Coma,2013-03-11,T,ffnet
Feelings,2012-12-27,T,ffnet
PISS OFF,2013-03-06,T,ffnet
Sigo recordándote,2012-08-08,K,ffnet
Safe&Sound,2013-03-04,K+,ffnet
Hibakusha's Wish,2013-03-02,K+,ffnet
Terror Adhaerens,2013-03-01,T,ffnet
Dämmerung,2013-03-01,T,ffnet
Magical girl reunion,2013-02-27,T,ffnet
Where the Winds Blow,2013-02-12,T,ffnet
Unavoidable,2013-02-27,T,ffnet
Contract?,2013-02-26,K,ffnet
The Lakeside,2013-02-25,T,ffnet
¡Feliz Cumpleaños Homura-chan!,2013-02-23,K,ffnet
Regalo de San Valentín,2013-02-19,K+,ffnet
Quel voeu as-tu fait?,2013-02-18,T,ffnet
That moment,2013-02-17,T,ffnet
¡A Homura-chan no le gusta el chocolate!,2013-02-16,K+,ffnet
I Will Protect Her,2013-02-16,T,ffnet
Nobody Told Us It Would Be This Complicated,2013-02-16,K+,ffnet
a break in time,2013-02-14,T,ffnet
And I'm Home,2013-02-14,T,ffnet
I READ MYSELF,2013-02-13,T,ffnet
Going Through The Motions,2013-02-12,M,ffnet
With Good Intentions,2013-02-11,K+,ffnet
Just Trust Me,2013-02-11,M,ffnet
Why?,2013-02-09,K+,ffnet
La Nueva Chica Magica,2013-02-06,T,ffnet
Requiem,2013-02-08,T,ffnet
Racing the Daylight,2013-02-07,K+,ffnet
Memory,2013-02-07,T,ffnet
Through Space and Time,2013-02-06,K,ffnet
Watching,2013-02-06,K,ffnet
Alone Together,2013-02-06,T,ffnet
Knotted,2013-02-06,T,ffnet
Dissent,2013-02-05,T,ffnet
Character Sketches,2012-12-27,T,ffnet
Bow,2013-02-04,K,ffnet
Through The Witch's Eyes,2012-03-29,K+,ffnet
Puella Magi Tsubasa Magica,2012-10-18,T,ffnet
the lonely facade of perfection,2013-02-02,M,ffnet
The Happiest Ending,2013-02-02,T,ffnet
Love Letters,2013-01-31,K,ffnet
History Undone,2013-01-30,K+,ffnet
Running Into a Memory,2012-02-06,T,ffnet
Puella magi Kakudo magica,2013-01-28,T,ffnet
You are (not) zombie!,2013-01-25,K+,ffnet
With A Slight Note of Imperfection,2013-01-21,K+,ffnet
Caer a la sangre,2013-01-20,T,ffnet
El baile de Noche de brujas,2013-01-20,T,ffnet
Waiting,2012-10-27,M,ffnet
Trollin' in the Deep,2013-01-15,T,ffnet
Lonely Night,2013-01-17,T,ffnet
Dulci Innocentia,2013-01-17,K+,ffnet
Getting Caught's Easier Than Confessing,2013-01-15,T,ffnet
Puella Magi: Linebreaker,2013-01-15,M,ffnet
Spiralling,2013-01-02,T,ffnet
Her Life Before Becoming a Witch,2013-01-14,K+,ffnet
Madoka no zetsubou,2012-07-14,T,ffnet
What will you do?,2013-01-09,T,ffnet
No pretendo que lo entiendas,2012-12-09,T,ffnet
The Amazing Adventure of Magical Molly!,2013-01-05,K+,ffnet
Miracles and Magic,2013-01-04,K+,ffnet
Heartbeat,2013-01-03,K+,ffnet
Mami's Suicide Letter,2013-01-03,K,ffnet
Outside the Box Failures,2013-01-02,K+,ffnet
Puella Magi Poorfag Magica,2013-01-02,K+,ffnet
Black Magic,2013-01-02,T,ffnet
Coming,2012-12-31,T,ffnet
Die a Hero,2012-12-30,K+,ffnet
The Dream She Saw,2012-12-30,K+,ffnet
Petals and Pens,2012-12-28,M,ffnet
Gift of the Puella Magi,2012-12-25,T,ffnet
Hommando,2012-12-25,T,ffnet
Suitors,2012-12-25,T,ffnet
Regulations,2012-12-25,T,ffnet
Drink With Me Sometime,2012-12-25,K+,ffnet
Beware of Wishes,2012-12-25,T,ffnet
O universo por você,2012-12-25,K+,ffnet
Quest For Pudding,2012-12-02,K+,ffnet
Cognitive Disco Dance,2012-09-20,T,ffnet
Never Alone,2012-12-16,K+,ffnet
Sexual Favours,2012-12-16,M,ffnet
Memories,2012-12-15,K,ffnet
Love Me Do,2012-12-13,T,ffnet
Lights Changing Color,2012-12-10,T,ffnet
Cry Just A Little,2012-12-07,T,ffnet
"Poor In Pocket, Rich In Love",2012-02-29,T,ffnet
The Mind of a Stranger,2012-12-07,T,ffnet
Logic,2012-12-06,K+,ffnet
Cartesian Contract,2012-12-05,K+,ffnet
I sold my happiness,2012-12-04,K,ffnet
when time is over,2012-12-04,K+,ffnet
Dealing with it,2012-11-29,T,ffnet
Lost In The Woods,2012-11-26,T,ffnet
Looking Up From Underneath,2012-11-26,T,ffnet
A Long Way Down,2012-11-24,T,ffnet
Can't Let Go,2012-08-14,M,ffnet
Stargazing,2012-11-22,T,ffnet
I'm Not Alone,2012-11-20,T,ffnet
Offers you Just Have to Refuse,2012-11-19,M,ffnet
Puella Misfit Etsuko Magica,2012-11-19,T,ffnet
Beside You,2012-11-18,T,ffnet
Walpurgisnacht,2012-11-18,T,ffnet
Horuma's last chance,2012-10-27,T,ffnet
Valkyrie,2012-10-26,T,ffnet
Reencuentro,2012-11-15,T,ffnet
Puella Magi Mami Magica,2012-11-11,T,ffnet
Prologue: If Only I'd Known,2012-11-14,K+,ffnet
A Gift,2012-11-09,K,ffnet
Semblance of Liberty,2012-11-11,K+,ffnet
The Phantom of the Auditorium,2012-11-11,K+,ffnet
Reckoning,2012-11-10,K+,ffnet
Continue To Be,2012-11-09,K+,ffnet
And I'm Home,2011-10-28,T,ffnet
less than zero,2012-11-08,M,ffnet
It is over,2012-11-08,T,ffnet
Eternal Symphony of Love,2012-11-07,K+,ffnet
Changes,2012-11-07,K,ffnet
Sweet and Sour,2012-11-05,T,ffnet
Edifying Edibles,2012-11-02,K,ffnet
Puppets,2012-09-11,M,ffnet
In the World of Witches,2012-10-30,T,ffnet
Colors,2012-04-12,T,ffnet
the wrong side of eternity,2012-10-27,K,ffnet
What if?,2012-10-26,T,ffnet
From The Moment,2012-10-26,K+,ffnet
You Take My Self Control,2012-10-25,M,ffnet
Save Her,2012-10-25,T,ffnet
Bandaid,2012-10-22,T,ffnet
"Oh No, Not Madoka!",2011-11-11,T,ffnet
Be Prepared,2012-10-17,K+,ffnet
An Enhanced Perspective,2012-10-16,T,ffnet
Haunted,2012-10-15,T,ffnet
Mami's Night Out,2012-10-15,T,ffnet
Rubble,2012-10-15,T,ffnet
Words,2012-10-09,K+,ffnet
Fate,2012-10-14,K,ffnet
Candid Cravings,2012-10-08,M,ffnet
The Mermaid's Gem,2012-10-11,T,ffnet
Secret Shame,2012-10-10,T,ffnet
steel garden,2012-10-07,M,ffnet
5 Kisses,2012-10-07,T,ffnet
Homerun,2012-09-23,T,ffnet
CHEM WHERE,2012-10-06,K,ffnet
Happy Birthday,2012-10-03,K,ffnet
Confident,2012-10-03,K+,ffnet
Not all bad,2011-05-04,K,ffnet
in the valley of the shadow,2012-10-03,T,ffnet
Because you love me,2012-10-01,T,ffnet
I Believe,2012-09-30,T,ffnet
Choose Your Side,2012-09-30,T,ffnet
Incubator Recruitment Song,2012-09-28,K+,ffnet
Alternate Universe,2012-09-27,T,ffnet
Losing you was not an option,2012-09-26,T,ffnet
The sweet goodbye of Charlotte,2012-09-23,T,ffnet
The thoughts of Kriemhild Gretchen,2012-09-23,T,ffnet
Love Letter to a Friend,2012-09-21,K,ffnet
Sympathetic Intervention,2012-08-12,K+,ffnet
"Make Love, Not War",2012-09-16,T,ffnet
"I, Incubator",2012-09-19,K,ffnet
Puella Magi MADOKA Magica,2012-09-18,T,ffnet
Just a Little Girl,2012-09-18,T,ffnet
Rationing,2012-09-18,K+,ffnet
The First Wish,2012-09-18,T,ffnet
Tarnished Gold,2012-09-17,T,ffnet
Homura and the Apocalyptic Rift,2011-04-25,T,ffnet
The Girl Who Lived,2012-09-13,T,ffnet
Missing the Connection,2012-09-13,T,ffnet
8k words,2012-09-10,T,ffnet
Zombies Never Die Blues,2012-09-10,K+,ffnet
Fantasía,2012-09-09,K,ffnet
"La niña, la bruja",2012-09-09,K,ffnet
If Magic Exists,2012-09-09,T,ffnet
Wasted Wish,2012-09-08,K+,ffnet
Tan Cerca pero Tan Lejos,2012-06-27,T,ffnet
Caught in the Act,2012-09-02,T,ffnet
Puella Magi Kyouko Magica,2012-08-15,T,ffnet
you held my heart in your hands,2012-09-01,K+,ffnet
The First Wish,2012-09-01,T,ffnet
rinse and repeat,2012-09-01,T,ffnet
One Day,2012-08-31,T,ffnet
Mahou Shoujo Omake Magica,2011-11-12,T,ffnet
Le cercle infernal,2012-08-29,T,ffnet
What If I Kissed You?,2012-08-26,K+,ffnet
I'm not afraid anymore,2012-03-01,T,ffnet
Friends,2012-08-24,T,ffnet
Tremolo,2012-08-20,T,ffnet
On A Cosmic Scale,2012-08-20,K,ffnet
The End : The Beginning,2012-08-20,T,ffnet
Desperate Times Calls For Desperate Measures,2012-08-14,T,ffnet
Ding Dong,2011-06-02,M,ffnet
Puella Magi Akiko Magica,2011-08-31,T,ffnet
"Magia, Pacem, Bellum Terrarum",2011-06-30,T,ffnet
Why?,2012-08-10,T,ffnet
Steady State,2012-08-07,M,ffnet
Madoka's Problems,2011-11-02,T,ffnet
Night Terror,2012-08-07,T,ffnet
Regrets,2012-08-07,T,ffnet
Intermezzo I: Camaraderie and Malice,2012-08-07,T,ffnet
Falling into Despair,2012-08-07,T,ffnet
Causality Crash,2012-07-28,T,ffnet
Spinning Wheels,2012-08-03,K,ffnet
"Rise Above, Golden Girl",2012-07-31,K+,ffnet
Perception,2012-07-27,M,ffnet
A song for you,2012-07-25,K+,ffnet
Problemas de elevador,2012-07-25,T,ffnet
My Cursed Life in 12 Couplets,2012-07-19,K,ffnet
Puella Magi Charlotte Magica,2012-06-15,T,ffnet
One Step Higher Than Rivalry,2012-07-16,T,ffnet
Rhythm and Flow,2012-07-15,T,ffnet
Some Things Never Change,2012-07-15,T,ffnet
I'm A Damn Idiot,2012-07-07,T,ffnet
Ten ways to write a fabulous MADOHOMU story,2012-07-06,T,ffnet
Madoka's World,2012-07-03,T,ffnet
Juste des rêves,2012-06-29,K+,ffnet
The Climb of Walpurgis Night,2012-06-26,T,ffnet
Gourmandise,2012-06-27,M,ffnet
Let's Kiss Hiding in a Car,2012-06-25,T,ffnet
April Showers,2012-06-24,T,ffnet
Puella Magi Homura Magica,2011-05-25,T,ffnet
All is Not as It Seems,2011-04-30,K+,ffnet
You're Still Here,2012-06-20,K,ffnet
The Last Ring,2011-08-10,T,ffnet
The Sound of Flowers,2012-06-16,K+,ffnet
Grey,2012-06-14,T,ffnet
Rain,2012-06-14,K,ffnet
Puella Magi Madoka Mafia,2012-06-10,T,ffnet
Quarter,2012-06-09,T,ffnet
Make A Wish,2012-06-09,T,ffnet
Wieners ga Daisuki,2012-06-07,T,ffnet
andromeda,2012-06-05,K+,ffnet
A day in the life of a blonde,2012-05-30,K,ffnet
Puella Magi Magika Returns,2012-01-15,K,ffnet
A Reflection,2012-05-27,K+,ffnet
"Lust, Comfort, and Love",2012-05-24,M,ffnet
Just One Taste,2012-05-22,K+,ffnet
Surprise,2012-05-20,T,ffnet
Saving Grace,2012-05-20,T,ffnet
Cornered,2012-05-20,T,ffnet
Puella Magi Miyuki Magica,2012-05-18,T,ffnet
Retrospective Days,2012-05-18,K+,ffnet
Charlotte's Torture,2012-05-17,T,ffnet
Before Infinity,2012-05-16,T,ffnet
An Unattainable Beauty,2012-05-16,M,ffnet
we're always hungry,2012-05-13,K+,ffnet
Cats and Dogs,2012-05-12,K+,ffnet
Twisted Torment,2012-05-12,T,ffnet
Wedding Day,2012-05-11,K+,ffnet
The Five Stages,2011-06-03,K+,ffnet
Skinny Love,2012-05-09,T,ffnet
A Thousand Years,2012-05-09,T,ffnet
Fragmented,2012-05-08,K+,ffnet
Stargazers,2012-05-07,T,ffnet
Idle Days,2012-05-05,K+,ffnet
Kyubey's Euthanasia,2012-05-02,T,ffnet
Hellos and Goodbyes,2012-04-27,T,ffnet
Hope,2012-04-25,T,ffnet
Drowning,2012-04-21,T,ffnet
Those Rainy Nights,2012-04-18,T,ffnet
La sirena durmiente,2012-04-16,M,ffnet
Integración,2012-04-16,T,ffnet
Cravings,2012-04-15,T,ffnet
Cake Party,2012-04-12,T,ffnet
Knots,2012-04-12,K+,ffnet
Futa Magi Madoka Magica,2012-04-10,M,ffnet
Madoka Magica: Pure Pink Pretty Lovers,2012-04-06,T,ffnet
Elevator problems,2012-04-08,T,ffnet
Reflections on Destiny,2012-04-07,K,ffnet
Happy Birthday,2012-04-07,T,ffnet
Nosebleed,2012-04-07,T,ffnet
Meeting Place,2011-10-10,K+,ffnet
What Remains,2012-04-06,K+,ffnet
Our Heaven,2012-03-24,K+,ffnet
Pragmatism,2012-04-04,T,ffnet
Una verdadera bruja,2012-03-28,T,ffnet
Aparición,2012-03-28,T,ffnet
Flowers,2012-03-27,K+,ffnet
Sea of Tears,2012-03-26,T,ffnet
No Need,2012-03-24,K,ffnet
A Witch's Voice V2,2011-10-01,K+,ffnet
Fighting Myself,2012-03-16,T,ffnet
A Request,2012-03-15,K+,ffnet
Radiant in Her Crown of Thorns,2012-03-13,T,ffnet
Sayaka's Side,2012-03-07,K,ffnet
In Memory,2012-03-07,T,ffnet
"Young, Crazy Love",2012-03-07,T,ffnet
Double Joy and Half a Sorrow,2012-03-06,K+,ffnet
All I Ever Wanted,2012-02-29,T,ffnet
Apple and Cinnamon,2012-02-29,T,ffnet
Transcendent,2012-02-29,T,ffnet
Vermillion & Cerulean,2012-02-28,T,ffnet
Lingering Shadow,2012-02-28,K+,ffnet
Resting Place,2012-01-29,K+,ffnet
The Rose that Hath no Thorns,2012-02-25,T,ffnet
Once Again,2012-02-15,K+,ffnet
Waiting,2012-02-13,T,ffnet
Strawberry Cheesecake,2012-02-13,T,ffnet
Cookies and Milk,2012-02-12,T,ffnet
All That Matters,2012-02-11,K+,ffnet
Dog Days,2012-02-09,K+,ffnet
Another Futures,2011-11-01,T,ffnet
ash like snow,2012-02-06,T,ffnet
heart won't stop rewinding,2012-02-06,M,ffnet
Magical Girl Sleepover,2011-11-20,M,ffnet
counterglow,2012-01-31,T,ffnet
Ulterior Motive,2012-01-30,K+,ffnet
