,names,dates,ratings,languages
553,Blancanieves,2018-11-21,K,Spanish
554,Actividad ParaAnormal,2018-11-17,T,Spanish
555,Salvation or Mercy: Redux,2018-10-31,T,English
556,Las bizarras locuras de Sayaka,2018-11-11,K+,Spanish
557,Día caluroso,2018-11-10,K,Spanish
558,Pages,2018-11-10,K,English
559,Sacrifice,2018-11-08,T,English
560,Boobies,2018-11-06,K,Spanish
561,Páginas,2018-11-05,K,Portuguese
562,Homura Akemi's True second Chance,2018-11-03,T,English
563,In Saecula Saeculorum,2017-02-27,T,English
564,"Maybe there is no God, but You make Me Believe",2017-02-14,K+,English
565,Un fucking especial de Halloween,2018-10-31,K+,Spanish
566,Lo que realmente deseo,2018-10-28,K,Spanish
567,El extraño Halloween de Mami-san,2018-10-27,K,Spanish
568,Especial Halloween: Madohomu,2018-10-27,K,Spanish
569,Month of Pink '18 25: Madoka Kaname,2018-10-26,T,English
570,Vagina-Saxophone,2018-10-25,T,English
571,Lost Soul,2014-02-15,T,English
572,Pink Samurai,2017-12-21,T,English
573,Embers,2018-10-17,T,Spanish
574,Outsider Chronicles: Puella Magi Madoka Prisma,2018-09-25,M,English
575,Sayaka Miki's Despair Event Horizon,2018-10-14,T,English
576,Perchance,2018-10-13,K+,English
577,Homura 1944,2018-09-13,T,English
578,La pelirrosa está celosa,2018-10-06,K+,Spanish
579,Gone are Disbelief and Doubts,2018-10-05,K+,English
580,"Resonantia, Ad Infinitum",2018-09-11,T,English
581,Never Again,2014-02-06,T,English
582,Time Mage Madoka Magica,2018-05-12,T,English
583,A Happy Dream,2011-04-12,T,English
584,I-Doll! Just Keep the music High! (Remasterized),2018-01-09,T,Spanish
585,Firebird,2018-09-07,T,Spanish
586,Girls nite out,2018-09-22,K,English
587,To Get to the Other Side,2018-04-13,T,English
588,Blossoming Rivalry,2018-09-12,T,English
589,a utopia for one,2018-09-10,T,English
590,The Easy Way Out,2018-09-10,T,English
591,A House Made of Cake,2018-09-08,T,English
592,Fulgor,2018-09-08,K+,Spanish
593,Una vez más,2018-09-08,K,Spanish
594,When we met,2018-09-07,K,English
595,A Pair of Witches,2018-09-06,T,English
596,Fine Print,2018-09-06,T,English
597,A Father's Musing,2018-09-03,T,English
598,Memento - English Edition,2018-02-17,T,English
599,Memento,2018-02-12,T,Portuguese
600,Her Drowning,2015-03-24,T,English
601,Living Memories,2018-08-17,T,English
602,Red And Yellow Hearts In One,2018-08-14,K,English
603,Breaking and Entering your heart,2018-08-10,K+,English
604,¡Mixer!,2017-04-03,M,Spanish
605,A Kaname is a Kaname,2018-08-09,T,English
606,Time and Time Again,2018-08-07,K,English
607,Voldemort,2018-08-04,K,English
608,Hospice,2018-05-13,T,English
609,Reflection,2013-11-20,T,English
610,Forgiveness Story,2018-05-29,K+,English
611,They Kiss at the End,2018-07-08,T,English
612,Puella Magi Massive Magica,2018-07-07,M,English
613,The Silver Lining,2018-07-03,T,English
614,Mythical Magical Girls Madoka Magica,2018-06-27,T,English
615,Crimson Memories,2017-10-02,T,English
616,the perfect timeline,2018-06-23,T,English
617,Puella Magi Madoka Magica The Youngest Magical Girl,2017-10-27,T,English
618,Puella Magi Madoka Magica Love and Friendship,2017-10-27,M,English
619,cobaltblue,2018-06-17,T,English
620,Country of Sweets,2014-11-19,T,English
621,Caesura,2018-06-15,K,English
622,Shine,2018-06-14,T,English
623,"Unstoppable Force, Immovable Object",2018-06-14,K,English
624,I Remember You,2018-06-12,K+,English
625,The Sane Witch,2017-10-08,T,English
626,A Demon's Labyrinth,2018-04-03,T,English
627,It's No Surprise To Me,2018-05-17,T,English
628,And I'm home,2018-05-18,K+,English
629,All You Need Is A Little Love,2018-05-18,T,English
630,Fact is Stranger Than Fiction,2018-05-16,K+,English
631,Winners never quit,2018-05-16,M,English
632,Let us have a happy dream,2018-05-15,T,English
633,Walpurgishnact,2018-05-07,K,English
634,Freedom from Groundhog's Day,2018-05-01,T,English
635,cautious steps,2014-04-13,T,English
636,Rebirthing,2018-03-15,T,Spanish
637,"Magia, Pacem, Bellum Terrarum - Those Fallen",2013-12-28,T,English
638,hope for Madoka and homura,2018-04-23,K,English
639,The Short Career of Magical Girl Nagisa,2018-04-15,T,English
640,Roommates,2018-03-15,T,English
641,An Anticlimactic Ascension,2018-04-10,T,English
642,Madoka's Endless Cycle,2018-04-09,T,English
643,The Preventers,2018-03-23,T,English
644,Target Practice,2018-04-07,T,English
645,El experimento,2018-04-06,M,Spanish
646,Tráiler,2018-04-03,K+,Spanish
647,The end is never the end is never the end is never the end is,2018-04-02,T,English
648,Puella Magi Marissa Mojika,2017-07-20,K+,English
649,Homura no Nichijou: The Daily Life of Akuma Homura,2018-02-09,M,English
650,Detalles inesperados,2018-04-01,K,Spanish
651,yet the Ice stayed the same,2018-03-31,T,English
652,Protector Servorum : Puerum Magi,2013-03-18,T,English
653,Madoka Overload (MM4-1),2018-02-09,T,English
654,Homura: A Phoenix Reborn,2018-03-22,T,English
655,Puella Magi Madoka Magica: Witch Tales,2018-03-22,T,English
656,Company Girl,2018-03-13,T,English
657,occultatum,2018-03-12,T,English
658,Timeless wish,2017-12-01,T,English
659,Home Like a Distant Star,2018-03-08,T,English
660,siempre juntas ¿verdad?,2018-03-04,M,Spanish
661,every night the dream spiral grows deeper,2018-03-04,T,English
662,Ode to Kyoko Sakura,2018-03-04,K,English
663,Content With Chaos Theory,2018-02-26,K,English
664,Madoka Magica: the Unlikely Ally (On Hiatus Until Rebooted),2017-06-26,T,English
665,Devastation,2018-02-23,T,English
666,Corruption of Love,2018-02-14,T,English
667,Troublesome Weddings,2017-10-08,K+,English
668,Suffering,2018-02-12,K,English
669,Sonrisas que ya no hay,2018-02-10,T,Spanish
670,Homura Might be Going Crazy,2018-02-09,T,English
671,Rationality is a Human Disorder,2018-01-30,K+,English
672,Will You Marry Me? (MM2-2),2018-01-29,T,English
673,Confrontation (MM2-1),2018-01-22,T,English
674,When Humanity Dies,2015-03-29,M,English
675,The Powerful Pettanko Plows Past Promiscuously Preened Akuma Homura,2018-01-11,T,English
676,Las canciones de nuestro amor,2015-07-18,T,Spanish
677,Caged Bird,2017-07-14,K,English
678,Siento los dias que paso contigo,2017-12-25,K,Spanish
679,Jolly Old St Nicholas,2017-12-25,K,English
680,Present,2017-12-25,K+,Spanish
681,No me olvides,2017-12-25,T,Spanish
682,Malentendidos,2017-12-25,K+,Spanish
683,Estás a salvo,2017-12-25,K+,Spanish
684,Gods and Wreathes: Warlocks,2016-11-02,T,English
685,"something old, something new",2017-12-23,K,English
686,Mayn't Change the World,2014-08-15,T,English
687,Parallel Lines,2017-05-12,K,English
688,花 束,2017-12-11,K,Spanish
689,Wreck-Creation for Fun and Profit,2015-01-19,T,English
690,The Road to Recovery,2017-09-20,K+,English
691,Ethereal,2015-09-26,T,English
692,Justice Doesn't Mean Happiness,2017-11-28,T,English
693,Cooking with Kyouko,2017-11-27,T,English
694,Lilium SoulStone,2016-12-26,T,English
695,Kalos - English Edition,2017-11-10,T,English
696,Kalos,2017-11-06,T,Portuguese
697,"Magia, Pacem, Bellum Terrarum - False Synthesis",2017-08-08,T,English
698,Aftermath,2017-01-16,T,English
699,Cards Against Meguca,2017-10-31,M,English
700,Miss Madoka Kaname: English Teacher (MM1-1),2017-10-30,T,English
701,Un pequeño susto,2017-10-30,M,Spanish
702,A Tale from the Wild East,2017-10-28,T,English
703,Madoka Magica Tickle-Tales,2017-08-27,T,English
704,cat's cradle,2014-01-25,T,English
705,A Wish Within Darkness,2015-10-10,T,English
706,Credens Justiam Fanlyrics,2017-10-08,K+,English
707,Les humains par le Professeur QB,2017-10-08,K,French
708,Candy Quintet,2017-10-04,T,English
709,Kuttsukiboshi x Madoka Magica: Prelude to Caribbean Rim,2015-10-04,T,English
710,Mother Misplaced,2017-09-29,K+,English
711,Madoka & Sayaka's Excellent Adventure,2016-09-13,T,English
712,7734,2015-04-05,M,English
713,Mami's death: other story,2017-09-27,K+,English
714,I Forget You,2017-09-26,K,English
715,Secretos,2017-09-25,T,Spanish
716,Love,2017-03-03,M,English
717,Amor,2017-03-02,M,Portuguese
718,JaSR (part 3) kyonagi,2017-09-14,T,English
719,You Hate Me,2017-09-14,K,English
720,Just A Simple Romance (Part 2) Kyonagi,2017-09-13,T,English
721,It's just a simple romance (part 1) kyonagi,2017-09-12,T,English
722,Polos Opuestos,2017-09-11,M,Spanish
723,Puella Magi Annika Magica: Awakening,2016-01-19,M,English
724,Madoka Kaname: Test Subject Zerø,2017-09-01,T,English
725,Ocean Story,2017-08-28,M,English
726,Madoka Magica: Alternate Timeline,2017-07-11,T,English
727,Contiguity Magica,2017-04-09,K+,German
728,A Certain Chocolate Covered Stick,2017-08-27,T,English
729,Chewing on Diamonds,2014-09-07,M,English
730,A Heartbroken Devil,2017-08-25,T,English
731,Redux,2016-02-26,T,English
732,A Last Drink with Mephistopheles,2017-08-17,T,English
733,Helping Your Senpais,2017-08-13,M,English
734,Brevedad en el paraíso,2017-08-12,M,Spanish
735,peligrosa obsecion,2017-08-12,K+,Spanish
736,World Away,2017-08-08,T,English
737,The Incubator Store,2017-08-02,K+,English
738,The Inquisition,2011-12-19,M,Spanish
739,Faustine,2017-07-31,T,Spanish
740,Die Another Day,2017-07-28,T,English
741,The Solomon Institute Case Files,2017-05-31,K+,English
742,Puella Magi Madoka Magica: Pilgrimage,2016-11-22,T,English
743,The Hunt for Tomoe Mami,2016-02-03,K+,English
744,Noticing inhuman changes,2017-05-29,K+,English
745,Puella Magi Madoka Magica : Rebirth,2015-06-29,T,English
746,Reassurance,2017-06-04,T,English
747,Puella Magi Madoka Magica: Rejection,2016-06-22,T,English
748,Courtroom of Anime: Madoka on Trial,2017-06-26,M,English
749,¡Yo me opongo!,2017-06-24,T,Spanish
750,Fallen Flower,2017-06-20,T,English
751,Wo Ist Die Käse?,2017-06-17,K,English
752,Friends for Eternity,2017-06-11,T,English
753,daze,2017-06-15,T,English
754,Indolence,2017-02-07,T,English
755,I'm Still the Magicest!,2017-06-07,T,English
756,I'm the Magicest! - 2012,2017-06-06,T,English
757,The Four-Walled Cell,2017-06-04,T,English
758,Descriptions,2017-06-04,T,English
759,"Hope arises, despair follows",2017-06-02,K+,English
760,Contracts,2017-03-05,K+,English
761,"¡Tiembla, tierra! - versión Madoka",2017-05-31,T,Spanish
762,Meet The Parents,2015-08-01,T,English
763,Mythology,2017-05-28,K,English
764,Inevitability,2017-05-19,T,English
765,A Passing Glance,2017-05-09,T,English
766,And I'm Home,2017-05-07,T,English
767,"May Day, Mayday, M'aidez",2017-05-04,K,English
768,Treasure be mine,2017-04-27,T,English
769,Rewriting the Universe,2017-05-01,K+,English
770,Rekindled,2017-04-28,T,English
771,Imposibilidad,2017-04-27,T,Spanish
772,How Flowers in Futility Bloom,2017-03-27,T,English
773,Being SayaKyou is Suffering,2017-04-22,K+,English
774,"Un ángel, un reloj, dos pasteles y dos idiotas",2017-04-18,T,Spanish
775,Plastic soul (gem),2017-04-14,M,English
776,Wish Fulfillment,2017-04-20,T,English
777,Together,2017-04-18,K+,English
778,"Itadakimasu, Kyouko!",2017-03-26,M,English
779,Madoka X Mami: Piece of cake,2017-04-16,K+,English
780,Another time line (2015),2017-04-14,T,English
781,Y nos volvimos a encontrar,2017-04-13,T,Spanish
782,Birdcage,2017-04-13,K,Spanish
783,Homura Akemi: Test Subject One,2015-07-28,T,English
784,Memento Mori,2017-04-08,M,Spanish
785,Coup de coeur,2017-04-06,K+,English
786,Unity in Magic,2014-07-12,T,English
787,"Madoka, You're the Father",2017-04-02,M,Indonesian
788,Waiting for Homura,2017-04-02,T,English
789,Love Bites (And So Do I),2017-03-31,T,English
790,La Cura de mi Corazon REMASTERED,2017-03-29,T,Spanish
791,This Is My Despair,2017-03-28,K,English
792,Powerless,2017-03-11,T,English
793,Every Day Magic,2017-03-23,K+,English
794,The Resurrection Story,2015-02-06,T,English
795,Somewhere In Time,2017-03-20,T,English
796,Citizens of America,2016-09-19,M,English
797,The Little Girl in Black,2017-03-13,K+,English
798,Ashes of Hope: From Girls to Witches,2017-01-25,T,English
799,Believer of Justice,2017-03-07,T,French
800,Night Comes Down,2017-03-11,T,English
801,Puella Magi Madoka Magica: Record,2017-02-25,T,English
802,Falling Light,2017-03-04,K+,English
803,Une histoire puella magi que j'écrirais quand j'aurais des idées,2017-03-08,K+,French
804,Misadventures Of Junko & Meiko,2017-03-06,M,English
805,Tricked,2017-03-05,T,English
806,Tough Girl-KyouMado,2015-07-24,T,English
807,Shepherd of the Black Sheep,2017-02-17,K+,English
808,Warrior of Music and Sea,2017-03-02,K+,English
809,Eternity,2017-02-19,T,English
810,Teach Me How to Pray,2017-02-23,T,English
811,Puella Magi Sayaka Magica,2017-02-20,T,French
812,Hearth,2017-02-19,T,English
813,Madoka's Pet,2016-07-15,M,English
814,Sweet Bitterness,2017-01-07,M,English
815,My Wonderful Family,2016-05-12,K+,English
816,Magic of Hope,2017-02-13,T,English
817,projectiles,2017-02-12,T,English
818,Why Do They Hate Me?,2017-02-10,K+,English
819,The Five Stages of Grief,2017-02-09,T,English
820,Ribbons,2017-01-26,K+,English
821,Mandy Magica,2016-06-11,T,English
822,Skopeou - English Edition,2017-02-06,T,English
823,The Adventures of Magical Girl Homura Akemi,2016-12-26,K+,English
824,A Simple Tea Party,2017-02-02,K+,English
825,Lost and Found,2014-05-25,M,English
826,Skopeou,2017-02-01,T,Portuguese
827,Heart's rhythm,2017-01-30,T,English
828,Inferno,2017-01-21,T,English
829,Harmonized heartbeat,2017-01-19,T,English
830,Vorago - English Edition,2017-01-11,T,English
831,CIM,2016-08-09,T,English
832,Vorago,2017-01-07,T,Portuguese
833,Madoka's Idea,2017-01-03,K,English
834,Flash Fire,2017-01-01,T,English
835,¿Que reflejas?,2016-12-29,T,Spanish
836,De promesas y silencios,2016-12-29,T,Spanish
837,Ethereal Days,2016-01-03,T,English
838,The True Meaning of Christmas,2016-12-25,K+,English
839,Madoka Meets Horror,2016-04-12,T,English
840,The Magical Dimensions: Tasteless Revenge,2016-04-09,M,English
841,Liberation,2016-07-15,T,English
842,The Procession,2016-12-04,K+,English
843,Como el Sol y la Luna,2015-10-21,T,Spanish
844,24 horas,2016-11-22,K+,Spanish
845,Born on the Eleventh Hour,2016-05-17,T,English
846,Night at the Beach,2016-09-17,T,English
847,Esto es a lo que llaman amor,2016-11-16,T,Spanish
848,Untended Embers,2016-11-11,T,English
849,Eidos - English Edition,2016-11-11,T,English
850,Eidos,2016-11-10,T,Portuguese
851,Earth Stands Peaceful,2016-11-05,T,English
852,"Hope, Or Something Like It",2016-11-03,T,English
853,Test Subject One: Yandere Madoka,2016-10-30,T,English
854,Clik clak la muñeca de Clara,2016-10-30,T,Spanish
855,Boogie Girls Madoka Magica,2016-10-28,T,English
856,Guardian,2016-06-19,T,English
857,Guilt Beckons the Witch,2016-05-16,M,English
858,Homura Reacts Redux!,2015-10-28,T,English
859,Enough,2016-10-25,M,English
860,Aphelion,2016-02-21,T,Spanish
861,Guardião,2016-06-15,T,Portuguese
862,Escapades,2016-10-04,M,English
863,The Requiem of the gods,2016-10-15,T,English
864,Demon's Ascension,2016-10-06,K+,English
865,Toxic,2016-02-14,T,English
866,If I Were Honest,2016-09-29,K,English
867,Gossamer Petals In A Reverie,2016-10-07,T,English
868,Who Am I?,2016-10-06,K+,English
869,Kindred Pyre,2016-10-02,T,English
870,Roller Sgayters,2016-10-01,K,English
871,The White,2016-09-30,K,English
872,Wrong Ending,2016-01-19,T,English
873,Tormenta,2016-09-24,T,Spanish
874,Incomplete,2016-09-22,T,Spanish
875,Cuando no te veo,2016-09-17,K+,Spanish
876,Madoka's Sky,2016-09-12,T,English
877,Mahou Shonen Mado Magica,2016-01-28,T,English
878,One Girl's Wish,2016-09-07,T,English
879,Perfecta,2016-09-07,M,Spanish
880,The Many Lives of Miki Sayaka,2016-08-29,K+,English
881,IM Messages,2014-10-07,M,English
882,Shame,2016-08-24,K+,English
883,Carta de cumpleaños,2016-08-24,K,Spanish
884,Sensual Punishment,2016-08-23,M,English
885,Bittersweet Tragedy,2016-08-22,T,English
886,Weaponizing Weakness,2016-08-21,K,English
887,Pit and Mortar,2016-08-18,T,English
888,Um so this is kinda like a reply to a review,2016-08-17,T,English
889,storm,2016-08-16,K,English
890,Maybe This Time,2016-08-16,T,English
891,It's Too Normal,2016-05-11,T,English
892,One Day Until Walpurgisnacht,2016-08-14,T,English
893,Decretum Magarum,2016-08-14,T,Spanish
894,Pillar of Light & Hope,2016-08-12,T,English
895,¿Y si el amor sí es un pecado?,2016-08-10,K+,Spanish
896,Soulful Grief,2016-08-09,T,English
897,Mr Clean Makes a contract,2016-08-08,M,English
898,Mi motivo,2016-08-07,K,Spanish
899,120 Latidos Por Minuto,2016-08-07,T,Spanish
900,Dying Coals,2016-08-03,T,English
901,Time Troubles,2016-04-16,T,English
902,25 momentos de Madoka y Homura,2016-01-20,T,Spanish
903,Madoka's Short Return,2016-07-25,T,English
904,Humo,2016-07-19,K+,Spanish
905,El presagio: capitulo 1 La pesadilla,2016-07-19,K+,Spanish
906,Las Pasiones del Espíritu,2016-07-19,K+,Spanish
907,Magical Warriors,2016-05-28,T,English
908,Festival de los sueños rotos,2016-07-18,K,Spanish
909,A Mother's Journey,2012-06-29,T,English
910,Dulce pesadilla,2016-07-18,K+,Spanish
911,Blazing Star,2016-07-17,K,English
912,Puntos Suspensivos,2016-07-17,K+,Spanish
913,un amor tragico,2016-07-17,K,Spanish
914,Luna Gray,2016-07-16,T,English
915,Diary of a Confused Conscience,2016-07-13,T,English
916,The little mermaid,2016-07-13,K,Spanish
917,Clockwork Girl,2016-07-11,T,English
918,Puella Magi Temporal Magica,2016-04-22,T,English
919,ave maria,2016-07-01,T,English
920,La lluvia puede lavar las lagrimas,2016-06-30,K,Spanish
921,Two in Seven Billion,2016-06-30,K+,English
922,Taenia Memoria,2016-06-23,T,English
923,Redemption,2016-06-28,M,English
924,Charcoal,2016-06-20,M,English
925,Perks and Detriments,2016-06-21,M,English
926,Fence Magi Mikitahara Magica,2016-06-18,K,English
927,Unraveling Thread and the Rain That Follows,2016-06-13,T,English
928,Puella Magi Makoto Magika: Un Nuevo Inicio,2013-06-17,T,Spanish
929,Dying Dream,2016-06-06,T,English
930,Tinder,2016-05-30,K+,English
931,Forest of Shadow and Steel,2016-04-17,M,English
932,Puella Magi Wanda Magica: El origen de Walpurgis,2015-08-31,K+,Spanish
933,A Curse Between Us,2015-08-10,T,English
934,Apricots Blooming during the Winter,2016-01-20,K+,English
935,Mint,2016-05-27,K+,English
936,A Bit of Imperative,2014-12-07,T,English
937,Homura Akemi Alexander Hamilton Song Parody,2016-05-20,T,English
938,The God I Stole,2016-05-20,T,English
939,Misfire,2016-05-17,M,English
940,Kamijou's Masterpiece,2016-05-13,T,English
941,Dulling the Pain,2016-05-10,T,English
942,Sparks,2016-05-09,M,English
943,M is for Magica,2016-05-08,K+,English
944,A Witches' Tale,2016-03-14,T,English
945,Guardian Creature,2016-05-04,K+,English
946,Magical Girl,2016-05-04,T,English
947,Fall,2016-05-03,T,English
948,Queda,2016-05-02,T,Portuguese
949,Akuma Homura Replies to Comments,2016-05-01,T,English
950,Absolution,2016-05-01,T,English
951,Renacer,2016-05-01,K+,Spanish
952,El Barrio Rojo,2016-01-01,M,Spanish
953,Abstract Catastrophe,2016-03-21,T,English
954,De Caballeros y Princesas,2016-04-28,K,Spanish
955,The Mysterious Adventures of TACHIBANA TANAKA!,2015-12-24,T,English
956,Realest,2016-04-27,T,English
957,One Thing Left To Save: Just Outside Heaven,2016-04-25,K+,English
958,Puella Magi Awards,2016-04-24,T,English
959,Tomatoes,2015-10-26,T,English
960,Homura Replies to Comments,2016-04-23,K+,English
961,Together,2016-04-20,K+,Spanish
962,The Last Link,2016-04-19,T,English
963,Bernie Magica,2015-09-30,T,English
964,One Thing Left To Save,2016-03-14,K+,English
965,Fargo,2015-05-05,T,English
966,"Bésame, Oriko-sama",2016-04-16,K+,Spanish
967,Destinos cruzados,2015-11-11,T,Spanish
968,OS: I'll save you,2016-04-15,K,English
969,Waifu Wars,2016-04-14,K,English
970,Visionary,2015-07-04,T,English
971,Visionária,2015-07-01,T,Portuguese
972,Devil's Compensation,2016-04-12,M,English
973,Story of The Dark Shounen,2016-04-12,M,Spanish
974,Puella Magi Kuria Magica,2016-04-11,T,English
975,Refractions,2014-07-25,T,English
976,Walpurgisnacht,2016-04-09,T,English
977,Puella Magi Haruka Magica,2016-02-29,M,English
978,Laughter,2016-04-04,K+,English
979,Glasses,2016-04-04,K+,English
980,Just a dream,2016-04-01,K+,English
981,No Longer Apart,2016-04-01,T,English
982,Espejo,2016-04-01,T,Spanish
983,Blue Gift,2016-03-28,T,English
984,Hearse,2016-03-15,K+,English
985,Once Upon A Dream,2016-03-26,T,English
986,Desirable Things,2016-03-19,T,English
987,A Basket full of Odd-Couple Oneshots,2015-12-14,K+,English
988,Die With You,2016-03-18,T,English
989,"Tu amor, mi enfermedad",2016-03-18,T,Spanish
990,The Pretorian Trial,2016-03-17,K+,English
991,Snow,2016-03-14,T,English
992,Magical girls and the apycolypse,2016-03-12,T,English
993,Two-Sided (Sequel to Puella Magi Ace Magica),2015-07-22,K+,English
994,Leave,2016-03-09,K+,Spanish
995,Homura-Chan,2016-03-03,T,English
996,¡Reto de todas las parejas!,2015-11-01,T,Spanish
997,A Different Path,2015-04-07,T,English
998,Flowers,2016-02-24,K+,English
999,Relight the Flame,2016-02-16,T,English
1000,The Crooked Note in Sayaka's Hands,2015-12-06,M,English
1001,¡Culpemos al alcohol!,2016-02-16,M,Spanish
1002,More Than a Wish,2013-12-20,T,English
1003,Madoka and Homura's Valentine's Day Date,2016-02-13,K+,English
1004,999 days,2016-02-12,K+,English
1005,Job search,2016-02-12,T,English
1006,BLUE,2016-02-09,K+,Indonesian
1007,Último Mundo,2016-02-08,T,Spanish
1008,Rendezvous With The Devil,2015-11-18,T,English
1009,Hope Examination Theory,2014-09-07,T,English
1010,Deseo incomprensible capitulo 1,2016-02-06,T,Spanish
1011,"Salvation, or Mercy?",2015-08-26,T,English
1012,Another Day,2016-02-02,T,English
1013,Neverending,2016-02-02,K,English
1014,The Gospel of Homura Akemi,2016-01-29,T,English
1015,Puella Magi Mami Magica: Another Chance at Life,2014-11-20,T,English
1016,Four times,2016-01-27,T,English
1017,Test Subject One: Ransom,2016-01-26,T,English
1018,Colorful Mind,2016-01-25,T,Spanish
1019,Akuma Homura,2016-01-15,T,English
1020,Submerged,2016-01-24,M,English
1021,Tomoko Magica,2015-10-27,T,English
1022,Reencuentro,2016-01-20,K,Spanish
1023,Singularity,2016-01-20,T,English
1024,For an End,2016-01-19,K,English
1025,Our Remaining Hope,2016-01-10,K+,English
1026,Dream of Red,2016-01-16,T,English
1027,The price of victory,2016-01-16,T,English
1028,Multishipping Magica,2016-01-10,K,English
1029,Mahou Shonen Kyosuke Magico,2016-01-15,K+,Italian
1030,Mahou Shonen,2016-01-15,K+,English
1031,The Grand Finale,2016-01-14,M,English
1032,Despair and Hope,2016-01-11,K+,English
1033,Science and Sleep,2016-01-11,K+,English
1034,Girl,2016-01-10,T,English
1035,"Because I really hate you, Kaname Madoka",2016-01-10,T,Indonesian
1036,The Price of Saving You,2016-01-10,T,English
1037,Patricia's Story,2016-01-05,T,English
1038,"Sin ti, yo no",2016-01-08,T,Spanish
1039,The Countdown (The Clock is Ticking),2015-12-21,T,Spanish
1040,Broken Heart,2015-11-01,T,English
1041,Обратная сторона Удачи,2016-01-04,K+,Russian
1042,Contemplating Witchiness,2016-01-03,T,English
1043,quintessence,2016-01-03,K+,English
1044,On the Origin of Madness,2016-01-02,T,English
1045,Balance -- Rebellion's End -- A Madoka Magica Rebellion One-Shot,2015-12-31,T,English
1046,On and Off,2015-12-31,M,English
1047,Roses Are Red,2015-12-31,K+,English
1048,Wounds of the Past,2015-11-04,M,English
1049,Mystical Mami,2015-09-28,K+,English
1050,Higher Ground,2015-12-27,T,English
1051,OS: Je te sauverai,2015-12-26,K,French
1052,Sodales,2014-05-24,T,English
1053,Teasing Kyouko is Fun!,2015-12-15,T,English
1054,"maleficis, spe aut desperatione",2015-12-22,K,Portuguese
1055,Kyouko's Despair,2015-12-21,T,English
1056,Happy Dreams,2015-12-20,T,English
1057,The Centerback and the Striker,2013-09-17,T,English
1058,"Tú, mi eternidad",2015-12-16,M,Spanish
1059,Kyouko is an innocent maiden!,2015-12-14,T,English
1060,Math and other Life Lessons,2014-06-22,T,English
1061,Reunion,2015-12-13,T,English
1062,Yuuta Magica,2015-10-17,T,English
1063,A FateFul Encounter,2012-03-02,M,English
1064,life and death,2015-12-10,K+,English
1065,Puellus Plebius Kyosuke Iusto,2014-04-29,K+,English
1066,Madoka's Birthday Wish,2013-10-04,T,English
1067,Here With You,2015-12-09,K,English
1068,Demonic Retribution,2015-12-08,T,English
1069,The Mitakihara Muse,2015-11-29,M,English
1070,Took Long Enough,2015-12-07,K+,English
1071,Forgive Me,2015-12-06,K+,English
1072,Pink Lips and Restroom Mirrors,2015-12-06,K+,English
1073,Judgment Day,2015-12-06,T,English
1074,The Taste of Bile,2015-12-05,T,English
1075,Two Against The Universe: Magic With A Price,2015-12-02,T,English
1076,The Manatee Incident,2015-12-02,T,English
1077,"Madoka, the Homura, and Kyoko",2015-11-13,K+,English
1078,Madoka Magica AU CYOA reader insert (kind of?): Destinies of one,2015-11-28,M,English
1079,Praedari Magica: The Hunters of Magic,2014-06-22,M,English
1080,The truth behind Mami Tomoe's death,2015-11-26,K+,English
1081,Lost Fragments: A World Without Any More Witches,2015-11-26,M,English
1082,Memories,2015-08-21,T,English
1083,The strongest magical girl,2015-01-26,T,English
1084,In the Wake of Nightmares,2015-09-12,T,English
1085,black coffee,2015-11-22,K+,English
1086,Sayaka Miki's Death,2015-11-22,K+,English
1087,Un nuevo camino,2015-11-22,T,Spanish
1088,Explosive Sounds,2015-11-21,K+,English
1089,My Big Fat Madoka Wedding,2013-10-01,T,English
1090,Madoka's Magical Feast,2015-11-20,M,English
1091,Nuevo intento,2015-10-24,T,Spanish
1092,"Homura, the enemy of Madoka? As if!",2015-11-19,T,English
1093,Sayaka X Kyoko (Yuri),2015-11-16,M,English
1094,ensare,2015-11-15,K+,English
1095,Seans,2015-11-15,K,Polish
1096,Confession,2015-11-14,K+,English
1097,Home,2015-11-12,T,English
1098,Take A Bow,2015-11-11,K+,English
1099,Three of a Kind,2015-06-11,T,English
1100,Por ti,2015-11-04,K+,Spanish
1101,The Homura Paradox,2015-02-28,T,English
1102,Under the Stars,2015-10-29,K+,English
1103,The Last Cycle,2015-10-25,T,English
1104,New comings and despair: Madoka Magica Season Two!,2014-11-16,M,English
1105,Puella Magi: Time's Fury,2015-10-20,T,English
1106,"My Name Is Akemi Homura, And This Is My Story",2015-10-20,K+,English
1107,Teardrop,2015-10-19,T,English
1108,Everything You Say,2015-10-17,T,English
1109,Quizás tú puedas ver la grieta en mi corazón,2015-10-16,T,Spanish
1110,I Promise,2015-10-15,T,English
1111,Power Magica,2015-03-20,T,English
1112,Cándidos Impulsos,2015-08-20,M,Spanish
1113,Credens Justitiam,2015-10-10,K+,English
1114,Red Ribbons & Yellow Clips -MiniFics MadoSaya-,2015-03-07,T,Spanish
1115,Worn Notebook,2015-10-10,K+,English
1116,Mientras tu voz se desvanece,2015-10-09,T,Spanish
1117,I'd Rather Die,2015-08-23,T,English
1118,Sunset,2015-08-16,T,English
1119,Trespass Sweetly Urged,2015-10-03,K+,English
1120,Pour son sourire,2015-10-02,K+,French
1121,A Beautiful Mistake,2015-05-20,T,Indonesian
1122,Amusement Park Date,2015-10-02,K,English
1123,Cinderella Stole My Car,2015-10-02,T,English
